# WL(nm)	 Flux(ergs/cm**2/s/nm)
363.0	4.869e+07
363.5	4.472e+07
364.0	5.456e+07
364.5	4.656e+07
365.0	4.735e+07
365.5	5.932e+07
366.0	6.270e+07
366.5	5.877e+07
367.0	5.715e+07
367.5	5.923e+07
368.0	5.174e+07
368.5	5.211e+07
369.0	5.618e+07
369.5	5.979e+07
370.0	6.362e+07
370.5	4.929e+07
371.0	5.257e+07
371.5	6.571e+07
372.0	4.357e+07
372.5	5.216e+07
373.0	5.294e+07
373.5	3.438e+07
374.0	4.989e+07
374.5	4.124e+07
375.0	4.004e+07
375.5	5.974e+07
376.0	4.948e+07
376.5	5.123e+07
377.0	5.415e+07
377.5	6.325e+07
378.0	6.853e+07
378.5	6.473e+07
379.0	5.341e+07
379.5	4.878e+07
380.0	5.068e+07
380.5	6.127e+07
381.0	6.127e+07
381.5	4.846e+07
382.0	4.295e+07
382.5	3.652e+07
383.0	3.375e+07
383.5	3.246e+07
384.0	3.576e+07
384.5	5.253e+07
385.0	5.202e+07
385.5	4.837e+07
386.0	4.137e+07
386.5	5.424e+07
387.0	4.504e+07
387.5	5.054e+07
388.0	4.661e+07
388.5	4.600e+07
389.0	4.961e+07
389.5	6.002e+07
390.0	6.016e+07
390.5	5.530e+07
391.0	6.501e+07
391.5	6.626e+07
392.0	5.576e+07
392.5	4.985e+07
393.0	2.769e+07
393.5	2.010e+07
394.0	4.086e+07
394.5	5.188e+07
395.0	6.325e+07
395.5	6.423e+07
396.0	5.563e+07
396.5	3.246e+07
397.0	2.433e+07
397.5	4.943e+07
398.0	6.922e+07
398.5	7.149e+07
399.0	7.722e+07
399.5	7.690e+07
400.0	7.985e+07
401.0	8.180e+07
402.0	8.605e+07
403.0	8.152e+07
404.0	8.013e+07
405.0	7.999e+07
406.0	7.847e+07
407.0	7.699e+07
408.0	7.995e+07
409.0	8.540e+07
410.0	7.444e+07
411.0	8.046e+07
412.0	8.614e+07
413.0	8.397e+07
414.0	8.480e+07
415.0	8.480e+07
416.0	8.605e+07
417.0	8.383e+07
418.0	8.217e+07
419.0	8.309e+07
420.0	8.263e+07
421.0	8.628e+07
422.0	8.189e+07
423.0	7.985e+07
424.0	8.439e+07
425.0	8.406e+07
426.0	8.161e+07
427.0	7.999e+07
428.0	7.787e+07
429.0	7.352e+07
430.0	6.423e+07
431.0	6.367e+07
432.0	8.198e+07
433.0	8.231e+07
