wavelength,photoabsorption,photodissociation,photoionisation
78.68,9.51E-18,0.00E+00,9.51E-18
78.69,9.51E-18,0.00E+00,9.51E-18
78.7,9.51E-18,0.00E+00,9.51E-18
78.71,9.51E-18,0.00E+00,9.51E-18
78.72,9.51E-18,0.00E+00,9.51E-18
78.73,9.51E-18,0.00E+00,9.51E-18
78.74,9.51E-18,0.00E+00,9.51E-18
78.75,9.51E-18,0.00E+00,9.51E-18
78.76,9.51E-18,0.00E+00,9.51E-18
78.77,9.51E-18,0.00E+00,9.51E-18
78.78,9.51E-18,0.00E+00,9.51E-18
78.79,9.51E-18,0.00E+00,9.51E-18
78.8,9.51E-18,0.00E+00,9.51E-18
78.81,9.51E-18,0.00E+00,9.51E-18
78.82,9.51E-18,0.00E+00,9.51E-18
78.83,9.51E-18,0.00E+00,9.51E-18
78.84,9.51E-18,0.00E+00,9.51E-18
78.85,9.51E-18,0.00E+00,9.51E-18
78.86,9.51E-18,0.00E+00,9.51E-18
78.87,9.51E-18,0.00E+00,9.51E-18
78.88,9.51E-18,0.00E+00,9.51E-18
78.89,9.51E-18,0.00E+00,9.51E-18
78.9,9.51E-18,0.00E+00,9.51E-18
78.91,9.51E-18,0.00E+00,9.51E-18
78.92,9.51E-18,0.00E+00,9.51E-18
78.93,9.51E-18,0.00E+00,9.51E-18
78.94,9.51E-18,0.00E+00,9.51E-18
78.95,9.51E-18,0.00E+00,9.51E-18
78.96,9.51E-18,0.00E+00,9.51E-18
78.97,9.51E-18,0.00E+00,9.51E-18
78.98,9.49E-18,0.00E+00,9.49E-18
78.99,9.46E-18,0.00E+00,9.46E-18
79,9.34E-18,0.00E+00,9.34E-18
79.01,9.26E-18,0.00E+00,9.26E-18
79.02,9.20E-18,0.00E+00,9.20E-18
79.03,9.19E-18,0.00E+00,9.19E-18
79.04,9.19E-18,0.00E+00,9.19E-18
79.05,9.19E-18,0.00E+00,9.19E-18
79.06,9.33E-18,0.00E+00,9.33E-18
79.07,9.43E-18,0.00E+00,9.43E-18
79.08,9.43E-18,0.00E+00,9.43E-18
79.09,9.40E-18,0.00E+00,9.40E-18
79.1,9.38E-18,0.00E+00,9.38E-18
79.11,9.38E-18,0.00E+00,9.38E-18
79.12,9.41E-18,0.00E+00,9.41E-18
79.13,9.48E-18,0.00E+00,9.48E-18
79.14,9.71E-18,0.00E+00,9.71E-18
79.15,9.75E-18,0.00E+00,9.75E-18
79.16,9.75E-18,0.00E+00,9.75E-18
79.17,9.72E-18,0.00E+00,9.72E-18
79.18,9.67E-18,0.00E+00,9.67E-18
79.19,9.62E-18,0.00E+00,9.62E-18
79.2,9.62E-18,0.00E+00,9.62E-18
79.21,9.56E-18,0.00E+00,9.56E-18
79.22,9.48E-18,0.00E+00,9.48E-18
79.23,9.48E-18,0.00E+00,9.48E-18
79.24,9.41E-18,0.00E+00,9.41E-18
79.25,9.26E-18,0.00E+00,9.26E-18
79.26,9.23E-18,0.00E+00,9.23E-18
79.27,9.24E-18,0.00E+00,9.24E-18
79.28,9.30E-18,0.00E+00,9.30E-18
79.29,9.30E-18,0.00E+00,9.30E-18
79.3,9.32E-18,0.00E+00,9.32E-18
79.31,9.35E-18,0.00E+00,9.35E-18
79.32,9.41E-18,0.00E+00,9.41E-18
79.33,9.46E-18,0.00E+00,9.46E-18
79.34,9.49E-18,0.00E+00,9.49E-18
79.35,9.52E-18,0.00E+00,9.52E-18
79.36,9.54E-18,0.00E+00,9.54E-18
79.37,9.54E-18,0.00E+00,9.54E-18
79.38,9.52E-18,0.00E+00,9.52E-18
79.39,9.49E-18,0.00E+00,9.49E-18
79.4,9.46E-18,0.00E+00,9.46E-18
79.41,9.43E-18,0.00E+00,9.43E-18
79.42,9.41E-18,0.00E+00,9.41E-18
79.43,9.41E-18,0.00E+00,9.41E-18
79.44,9.37E-18,0.00E+00,9.37E-18
79.45,9.32E-18,0.00E+00,9.32E-18
79.46,9.29E-18,0.00E+00,9.29E-18
79.47,9.32E-18,0.00E+00,9.32E-18
79.48,9.41E-18,0.00E+00,9.41E-18
79.49,9.38E-18,0.00E+00,9.38E-18
79.5,9.29E-18,0.00E+00,9.29E-18
79.51,9.14E-18,0.00E+00,9.14E-18
79.52,9.11E-18,0.00E+00,9.11E-18
79.53,9.11E-18,0.00E+00,9.11E-18
79.54,9.14E-18,0.00E+00,9.14E-18
79.55,9.28E-18,0.00E+00,9.28E-18
79.56,9.35E-18,0.00E+00,9.35E-18
79.57,9.29E-18,0.00E+00,9.29E-18
79.58,9.31E-18,0.00E+00,9.31E-18
79.59,9.33E-18,0.00E+00,9.33E-18
79.6,9.33E-18,0.00E+00,9.33E-18
79.61,9.35E-18,0.00E+00,9.35E-18
79.62,9.34E-18,0.00E+00,9.34E-18
79.63,9.19E-18,0.00E+00,9.19E-18
79.64,9.11E-18,0.00E+00,9.11E-18
79.65,9.06E-18,0.00E+00,9.06E-18
79.66,9.09E-18,0.00E+00,9.09E-18
79.67,9.16E-18,0.00E+00,9.16E-18
79.68,9.25E-18,0.00E+00,9.25E-18
79.69,9.28E-18,0.00E+00,9.28E-18
79.7,9.35E-18,0.00E+00,9.35E-18
79.71,9.44E-18,0.00E+00,9.44E-18
79.72,9.50E-18,0.00E+00,9.50E-18
79.73,9.52E-18,0.00E+00,9.52E-18
79.74,9.53E-18,0.00E+00,9.53E-18
79.75,9.59E-18,0.00E+00,9.59E-18
79.76,9.67E-18,0.00E+00,9.67E-18
79.77,9.75E-18,0.00E+00,9.75E-18
79.78,9.76E-18,0.00E+00,9.76E-18
79.79,9.76E-18,0.00E+00,9.76E-18
79.8,9.76E-18,0.00E+00,9.76E-18
79.81,9.73E-18,0.00E+00,9.73E-18
79.82,9.71E-18,0.00E+00,9.71E-18
79.83,9.71E-18,0.00E+00,9.71E-18
79.84,9.69E-18,0.00E+00,9.69E-18
79.85,9.67E-18,0.00E+00,9.67E-18
79.86,9.67E-18,0.00E+00,9.67E-18
79.87,9.62E-18,0.00E+00,9.62E-18
79.88,9.60E-18,0.00E+00,9.60E-18
79.89,9.66E-18,0.00E+00,9.66E-18
79.9,9.65E-18,0.00E+00,9.65E-18
79.91,9.62E-18,0.00E+00,9.62E-18
79.92,9.59E-18,0.00E+00,9.59E-18
79.93,9.61E-18,0.00E+00,9.61E-18
79.94,9.64E-18,0.00E+00,9.64E-18
79.95,9.67E-18,0.00E+00,9.67E-18
79.96,9.68E-18,0.00E+00,9.68E-18
